input_name,input_state,input_tokens,first_senate_entry_year,entry_method,first_election_opponent
Elizabeth Warren,MA,17180,2013<url>https://www.congress.gov/member/elizabeth-warren/W000817</url>,elected<url>https://www.warren.senate.gov/about/about-elizabeth</url>,Scott Brown<url>https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Massachusetts</url>
Tammy Baldwin,WI,17391,2013<url>https://www.baldwin.senate.gov/about</url>,elected<url>https://www.baldwin.senate.gov/about</url>,Tommy Thompson<url>https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Wisconsin</url>
Jim Banks,IN,13097,2025<url>https://www.senate.gov/senators/NewSenators.htm</url>,elected<url>https://www.senate.gov/senators/NewSenators.htm</url>,Valerie McCray<url>https://apnews.com/article/5964cfdeac126708fe915c40f9eb0550</url>
John R. Curtis,UT,13134,2025<url>https://www.curtis.senate.gov/press-releases/curtis-sworn-in-as-united-states-senator-for-utah/</url>,elected<url>https://apnews.com/article/2eeeda22d91e46ef028bf7b1adbe5cab</url>,Caroline Gleich<url>https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Utah</url>
James C. Justice,WV,13772,2025<url>https://www.wdtv.com/2025/01/14/jim-justice-officially-sworn-united-states-senator/</url>,elected<url>https://apnews.com/article/7376ed0ceb9bebd0766190fb14cc0e69</url>,Glenn Elliott<url>https://apnews.com/article/7376ed0ceb9bebd0766190fb14cc0e69</url>
Christopher A. Coons,DE,18060,2010<url>https://en.wikipedia.org/wiki/Chris_Coons</url>,elected<url>https://en.wikipedia.org/wiki/2010_United_States_Senate_special_election_in_Delaware</url>,Christine O'Donnell<url>https://en.wikipedia.org/wiki/2010_United_States_Senate_special_election_in_Delaware</url>
Roger F. Wicker,MS,17970,2007<url>https://www.wicker.senate.gov/2008/1/wicker-sworn-in-as-mississippi-senator</url>,appointed<url>https://www.wicker.senate.gov/2008/1/wicker-sworn-in-as-mississippi-senator</url>,appointed
James E. Risch,ID,13494,2009<url>https://risch.senate.gov/public/index.cfm/about</url>,elected<url>https://risch.senate.gov/public/index.cfm/about</url>,Larry LaRocco<url>https://sos.idaho.gov/elect/results/2008/general/tot_stwd.htm</url>
Adam B. Schiff,CA,22857,2024<url>https://www.congress.gov/congressional-record/volume-170/issue-182</url>,appointed<url>https://www.gov.ca.gov/2024/12/08/governor-newsom-appoints-adam-schiff-to-the-u-s-senate-to-complete-remaining-term-ahead-of-full-elected-service/</url>,appointed
Cory A. Booker,NJ,29494,2013<url>https://www.senate.gov/states/NJ/timeline.htm</url>,elected<url>https://en.wikipedia.org/wiki/2013_United_States_Senate_special_election_in_New_Jersey</url>,Steve Lonegan<url>https://en.wikipedia.org/wiki/2013_United_States_Senate_special_election_in_New_Jersey</url>
